Pose: [{'x': 5.544444561004639, 'y': 5.544444561004639, 'theta': 0.0, 'linear_velocity': 0.0, 'angular_velocity': 0.0}]
Pose: [{'x': 6.409071445465088, 'y': 4.915979385375977, 'theta': -1.558648943901062, 'linear_velocity': 1.3885338306427002, 'angular_velocity': -2.4633750915527344}]
Pose: [{'x': 6.40846586227417, 'y': 4.893771171569824, 'theta': -1.5980628728866577, 'linear_velocity': 1.3885338306427002, 'angular_velocity': -2.4633750915527344}]
Pose: [{'x': 6.406985282897949, 'y': 4.871603965759277, 'theta': -1.637476921081543, 'linear_velocity': 1.3885338306427002, 'angular_velocity': -2.4633750915527344}]
Pose: [{'x': 6.404633045196533, 'y': 4.849512577056885, 'theta': -1.6768909692764282, 'linear_velocity': 1.3885338306427002, 'angular_velocity': -2.4633750915527344}]
Pose: [{'x': 6.401411533355713, 'y': 4.827530860900879, 'theta': -1.716304898262024, 'linear_velocity': 1.3885338306427002, 'angular_velocity': -2.4633750915527344}]
Pose: [{'x': 6.398636341094971, 'y': 4.8015570640563965, 'theta': -1.6772371530532837, 'linear_velocity': 1.6325912475585938, 'angular_velocity': 2.4417335987091064}]
Pose: [{'x': 6.396877765655518, 'y': 4.7754950523376465, 'theta': -1.6381694078445435, 'linear_velocity': 1.6325912475585938, 'angular_velocity': 2.4417335987091064}]
Pose: [{'x': 6.396138668060303, 'y': 4.749383926391602, 'theta': -1.5991016626358032, 'linear_velocity': 1.6325912475585938, 'angular_velocity': 2.4417335987091064}]
Pose: [{'x': 6.396419525146484, 'y': 4.723264217376709, 'theta': -1.560033917427063, 'linear_velocity': 1.6325912475585938, 'angular_velocity': 2.4417335987091064}]
Pose: [{'x': 6.397720813751221, 'y': 4.697175025939941, 'theta': -1.5209661722183228, 'linear_velocity': 1.6325912475585938, 'angular_velocity': 2.4417335987091064}]
Pose: [{'x': 6.4000396728515625, 'y': 4.671156406402588, 'theta': -1.481898546218872, 'linear_velocity': 1.6325912475585938, 'angular_velocity': 2.4417335987091064}]
Pose: [{'x': 6.4033732414245605, 'y': 4.645248889923096, 'theta': -1.4428308010101318, 'linear_velocity': 1.6325912475585938, 'angular_velocity': 2.4417335987091064}]
